codigo,tipo_punto_acceso,capex_extra,opex_extra_anual
777,armario_calle,5000.0,0.0
778,armario_calle,5000.0,0.0
779,armario_calle,5000.0,0.0
780,armario_calle,5000.0,0.0
781,armario_calle,5000.0,0.0
782,armario_calle,5000.0,0.0
783,armario_calle,5000.0,0.0
784,armario_calle,5000.0,0.0
785,armario_calle,5000.0,0.0
786,armario_calle,5000.0,0.0
787,armario_calle,5000.0,0.0
788,armario_calle,5000.0,0.0
789,armario_calle,5000.0,0.0
790,armario_calle,5000.0,0.0
791,armario_calle,5000.0,0.0
792,armario_calle,5000.0,0.0
793,armario_calle,5000.0,0.0
794,armario_calle,5000.0,0.0
795,armario_calle,5000.0,0.0
796,armario_calle,5000.0,0.0
797,armario_calle,5000.0,0.0
798,armario_calle,5000.0,0.0
799,armario_calle,5000.0,0.0
800,no_aplica,0.0,0.0
801,no_aplica,0.0,0.0
802,no_aplica,0.0,0.0
803,no_aplica,0.0,0.0
804,no_aplica,0.0,0.0
805,no_aplica,0.0,0.0
806,no_aplica,0.0,0.0
807,no_aplica,0.0,0.0
808,no_aplica,0.0,0.0
809,no_aplica,0.0,0.0
810,no_aplica,0.0,0.0
811,no_aplica,0.0,0.0
812,no_aplica,0.0,0.0
813,no_aplica,0.0,0.0
814,no_aplica,0.0,0.0
815,no_aplica,0.0,0.0
